name,brand,model,vram_gb,tdp_w,length_mm,pcie_generation
NVIDIA GeForce RTX 4070 Super,NVIDIA,GeForce RTX 4070 Super,12,220,244,PCIe 4.0
AMD Radeon RX 7800 XT,AMD,Radeon RX 7800 XT,16,263,267,PCIe 4.0
