name,brand,model,chip_family,vram_gb,reference_tdp_w,pcie_generation
NVIDIA GeForce RTX 4070 Super,NVIDIA,GeForce RTX 4070 Super,GeForce RTX 4070 Super,12,220,PCIe 4.0
AMD Radeon RX 7800 XT,AMD,Radeon RX 7800 XT,Radeon RX 7800 XT,16,263,PCIe 4.0
